Lp;Nr paczki;Wysokość (cm);Szerokość (cm);Długość (cm);Waga (kg)
7860;QB7DH;21;15;15;8
7861;D26QX;5;10;10;15
7862;A9T6M;25;27;27;10
7863;RJT37;22;28;28;7
7864;B6AR7;25;6;6;8
7865;ZW35Q;24;15;15;14
7866;8LR5P;12;24;24;12
7867;Z8FWP;21;29;29;14
7868;5XPNU;10;29;29;0
7869;254KW;6;18;18;14
7870;ZLT24;5;29;29;3
7871;QRRJM;7;6;6;14
7872;7GXNB;20;10;10;9
7873;DEAJ2;21;30;30;9
7874;PDQ5S;6;30;30;15
7875;AVM47;9;27;27;1
7876;AUHTM;6;19;19;5
7877;CA5TK;18;5;5;7
7878;GQS65;26;20;20;4
7879;U9AUJ;27;26;26;9
7880;3ANH5;8;25;25;13
7881;6HRHC;29;13;13;3
7882;NJXW4;5;20;20;5
7883;AY45J;8;27;27;15
7884;ECYW9;24;18;18;8
7885;UG8U2;5;28;28;14
7886;HM3VU;16;12;12;3
7887;XR4EZ;10;10;10;0
7888;7TAUF;25;6;6;11
7889;4V6XQ;5;8;8;8
7890;E3T5P;20;10;10;4
7891;SPVRA;13;5;5;4
7892;NYNGL;8;29;29;7
7893;9543A;23;25;25;6
7894;TZTTK;29;26;26;2
7895;ZN6VB;29;14;14;0
7896;M246V;22;14;14;8
7897;JPB66;30;27;27;10
7898;BJVQR;17;17;17;3
7899;8PL2H;22;23;23;2
7900;ML876;23;24;24;7
7901;HWJEJ;22;25;25;11
7902;LRAEN;27;7;7;0
7903;WP3XK;14;29;29;15
7904;YZTLF;30;28;28;2
7905;AJUMB;20;26;26;2
7906;3ZM2W;24;22;22;12
7907;HAJRE;24;24;24;2
7908;T3WT8;26;10;10;14
7909;AFM45;9;8;8;9
7910;WTUG5;17;18;18;7
7911;ZHELV;20;20;20;11
7912;FELS6;17;14;14;13
7913;826HJ;24;7;7;5
7914;B3BXL;21;29;29;4
7915;AYSNS;27;7;7;3
7916;NAB8H;8;7;7;8
7917;7YQBB;22;20;20;13
7918;CHFN2;24;30;30;7
7919;CMS9V;21;16;16;7
7920;2BN4Y;27;20;20;3
7921;Z4NJH;9;26;26;9
7922;7WH9V;20;23;23;3
7923;R6L88;24;22;22;11
7924;MAFTN;8;25;25;10
7925;7W2PV;18;21;21;6
7926;MGWZA;25;11;11;3
7927;MR52Z;7;23;23;6
7928;CXMLW;24;25;25;15
7929;93TK2;27;27;27;4
7930;RW2WG;8;23;23;12
7931;FT489;12;30;30;8
7932;QKFDB;14;6;6;11
7933;GRSBH;18;21;21;5
7934;HE7VQ;27;24;24;12
7935;TUJD6;12;24;24;2
7936;AUS3G;26;29;29;5
7937;Z82T6;25;24;24;14
7938;2AG8D;19;28;28;8
7939;HEU2G;18;15;15;1
7940;4ALZW;8;29;29;4
7941;2KHBN;18;26;26;0
7942;DB8W5;28;27;27;10
7943;FM387;24;28;28;7
7944;YY77W;29;30;30;9
7945;BF3W7;10;26;26;6
7946;9Q7LG;9;28;28;8
7947;UCR3E;20;24;24;10
7948;66G4T;30;16;16;12
7949;BA658;12;30;30;1
7950;4TW2R;13;25;25;7
7951;K3WCQ;11;11;11;5
7952;TC7RN;18;6;6;10
7953;DBRU5;17;10;10;0
7954;VQ23K;29;30;30;6
7955;K4KGX;7;9;9;11
7956;JAH62;24;13;13;15
7957;YGUMK;13;21;21;6
7958;B6M8N;30;5;5;2
7959;2BQHW;6;16;16;8
7960;K5DBW;21;30;30;8
7961;PMRZT;16;22;22;6
7962;F9UP6;7;23;23;12
7963;MEC8R;8;5;5;1
7964;N9MZ8;6;30;30;5
7965;2S9HZ;16;6;6;11
7966;WSV2U;29;27;27;9
7967;JF8Z6;17;9;9;14
7968;R75CL;16;27;27;1
7969;2PQ4M;26;26;26;10
7970;7HMK8;6;20;20;12
7971;KCRKK;26;14;14;12
7972;G843Y;23;5;5;15
7973;PB5M3;7;15;15;2
7974;25ZW7;15;12;12;12
7975;BNLSH;18;12;12;7
7976;YQQC2;5;18;18;14
7977;PM56X;21;5;5;13
7978;EDV96;6;7;7;13
7979;KN8FZ;7;6;6;4
7980;27URT;15;9;9;5
7981;RT84C;26;21;21;9
7982;FTSWV;13;17;17;11
7983;KB9E7;11;29;29;6
7984;WKAHJ;8;15;15;4
7985;7TW6Y;11;19;19;13
7986;MXW8E;30;7;7;12
7987;FQYEK;8;6;6;6
7988;2K4K7;26;28;28;12
7989;QV9P2;7;8;8;6
7990;6CB7L;18;10;10;1
7991;K5582;24;18;18;10
7992;ULPGJ;9;5;5;2
7993;UNZJS;8;20;20;13
7994;AB34M;23;22;22;1
7995;ZK9YZ;20;23;23;11
7996;ZV32S;8;27;27;4
7997;DCN9A;11;12;12;14
7998;ETLTZ;26;16;16;12
7999;VDDLN;14;22;22;7
8000;VLQPF;13;23;23;1
8001;4FQ35;8;8;8;2
8002;FSR9K;7;27;27;7
8003;ADMNC;12;27;27;8
8004;NSVYC;8;7;7;14
8005;MLGQW;20;28;28;6
8006;VC9BS;10;14;14;12
8007;F5XWW;21;14;14;14
8008;T4FA3;11;16;16;1
8009;QA63N;10;29;29;11
8010;9F7V6;6;29;29;3
8011;98HGP;7;21;21;14
8012;63S65;11;25;25;8
8013;ABYXX;6;5;5;3
8014;MGSSG;18;14;14;15
8015;L9HH2;19;28;28;12
8016;VG8T3;25;30;30;4
8017;5T2DZ;18;15;15;4
8018;F9TX5;27;20;20;12
8019;NX6CM;28;20;20;0
8020;UQUD9;6;9;9;15
8021;3P8AW;27;10;10;15
8022;ZW4YF;24;12;12;0
8023;WUYNX;26;18;18;8
8024;QTW9H;23;23;23;3
8025;SM7NQ;16;22;22;7
8026;J964D;15;15;15;1
8027;5VS3W;12;15;15;8
8028;FTJAH;16;17;17;8
8029;QW3FB;27;5;5;0
8030;QVVDV;20;26;26;2
8031;4V8ZA;19;14;14;12
8032;PAAK4;10;15;15;14
8033;DFQV9;18;18;18;4
8034;D3SM3;8;10;10;9
8035;24QT9;25;20;20;3
8036;RAUCD;22;16;16;6
8037;G6YEW;6;21;21;0
8038;YTWY5;29;22;22;12
8039;R3A7P;28;30;30;10
8040;AAHTN;12;16;16;3
8041;AKGQ4;7;20;20;4
8042;F7429;22;25;25;10
8043;786WD;8;18;18;14
8044;SLXFB;21;11;11;7
8045;SW5TU;12;5;5;8
8046;KUVSD;29;10;10;12
8047;9SNG8;24;7;7;8
8048;GN6BE;7;12;12;7
8049;69D3V;14;16;16;13
8050;HL86R;27;19;19;12
8051;9PD58;15;8;8;9
8052;YESKW;30;19;19;15
8053;WKEAR;13;23;23;15
8054;DH5AJ;22;21;21;13
8055;A6JEX;25;8;8;1
8056;5MA4H;7;23;23;8
8057;R3WVW;21;10;10;6
8058;VK3EV;30;15;15;0
8059;P26U3;5;21;21;0
8060;NYAHY;22;21;21;13
8061;KJVTN;9;6;6;0
8062;KN2KG;11;26;26;5
8063;A3AXN;12;30;30;2
8064;XJYQP;14;12;12;7
8065;K6GFR;28;13;13;1
8066;9TFA3;21;14;14;5
8067;6KCS4;17;28;28;2
8068;R4HHD;7;20;20;6
8069;QH7Q6;7;7;7;9
8070;KEF9V;25;22;22;0
8071;VJR4Q;25;27;27;14
8072;8,39E+05;17;25;25;12
8073;3AD5T;8;28;28;2
8074;7LMET;7;14;14;15
8075;RU3NB;16;15;15;3
8076;YYG6X;19;30;30;9
8077;3R8KL;30;25;25;6
8078;PHDNN;26;21;21;2
8079;7GPAB;18;26;26;14
8080;88NLC;11;30;30;14
8081;83XZG;8;14;14;5
8082;ZQ67L;13;21;21;2
8083;TY4S9;15;30;30;0
8084;E7HJL;14;5;5;5
8085;VGSBG;8;20;20;15
8086;U9E9K;29;14;14;9
8087;H7D7X;21;28;28;6
8088;KWDFT;12;26;26;3
8089;QZHKJ;20;30;30;6
8090;HQFRZ;19;29;29;8
8091;SD7BE;20;18;18;13
8092;EWEKV;17;27;27;2
8093;QSSTP;11;23;23;5
8094;F4CKA;10;13;13;2
8095;V225B;15;24;24;7
8096;ADSGU;16;23;23;10
8097;HYXFZ;28;17;17;1
8098;3KN7V;18;25;25;4
8099;9MER7;16;9;9;6
8100;TX2W8;28;28;28;10
8101;2HYSC;11;26;26;9
8102;2TFJZ;21;28;28;11
8103;2SPPX;12;15;15;13
8104;FH9TF;24;26;26;8
8105;USTYA;29;11;11;9
8106;QJXH6;18;19;19;15
8107;W9EMS;15;24;24;0
8108;GDBNN;8;5;5;15
8109;3F6GU;17;5;5;6
8110;UN3T7;30;24;24;10
8111;9EQS5;17;7;7;9
8112;R9DFG;5;5;5;5
8113;A3GEE;28;25;25;7
8114;YMJ22;28;12;12;9
8115;WU7T2;30;16;16;9
8116;SDELX;6;13;13;8
8117;CK3T3;20;19;19;2
8118;WA32F;7;17;17;6
8119;939F8;10;7;7;15
8120;E6LPX;26;25;25;1
8121;CBHAU;13;27;27;0
8122;ATXE5;21;13;13;7
8123;LHFE3;11;26;26;12
8124;9332U;19;16;16;6
8125;9ZN96;6;28;28;10
8126;LE2WT;28;9;9;8
8127;QZVX2;9;15;15;13
8128;FXK54;12;24;24;7
8129;FGCLM;13;8;8;13
8130;5KEXB;29;10;10;2
8131;YX2DW;14;28;28;5
8132;XP3PC;28;20;20;6
8133;L547T;9;30;30;9
8134;UDG69;5;19;19;10
8135;ABFCM;30;25;25;2
8136;S8WXV;30;28;28;6
8137;XNJQR;17;5;5;15
8138;7D6YT;14;11;11;11
8139;9BP39;18;24;24;0
8140;8MCFH;24;27;27;11
8141;CGKHK;29;7;7;8
8142;W2HKP;20;22;22;3
8143;494DP;18;14;14;4
8144;KATGZ;21;18;18;11
8145;CF2R8;29;18;18;7
8146;ZQL4V;7;23;23;0
8147;U645E;7;10;10;13
8148;DS7L4;7;13;13;5
8149;MF3FJ;20;17;17;11
8150;GRKZX;19;8;8;4
8151;A453L;10;8;8;9
8152;4S3FM;12;18;18;3
8153;NZJHV;11;8;8;12
8154;PLELX;7;22;22;9
8155;8Y4Z6;22;5;5;9
8156;D8MNY;8;16;16;15
8157;BNS6F;22;24;24;1
8158;5ZYW6;27;28;28;13
8159;CBVMJ;29;22;22;14
8160;H2UND;15;7;7;13
8161;JL4CC;11;8;8;0
8162;YGBBU;10;14;14;8
8163;ZD9J9;27;29;29;1
8164;FDY6Z;29;12;12;8
8165;U83GL;15;17;17;4
8166;BQDW4;15;11;11;14
8167;H6FB9;11;17;17;8
8168;HZFJ3;11;12;12;6
8169;ZA6ZJ;29;10;10;1
8170;66NV2;15;23;23;6
8171;EGZ7N;26;20;20;13
8172;C85FV;15;7;7;2
8173;XNR4P;8;10;10;3
8174;RCFWL;16;19;19;15
8175;9NL6D;21;30;30;2
8176;V2A9M;6;20;20;3
8177;3DTTB;13;24;24;0
8178;8V932;28;7;7;6
8179;VRFCK;18;29;29;7
8180;VUN2G;23;28;28;11
8181;Y2VBW;12;6;6;11
8182;YXNZX;7;11;11;0
8183;2S2LB;5;16;16;5
8184;4JX3C;30;21;21;13
8185;PPTVR;30;22;22;15
8186;5GBH8;12;18;18;5
8187;J8Z5A;25;24;24;9
8188;MUX2K;24;12;12;0
8189;MS4E4;7;16;16;2
8190;58DT2;9;23;23;10
8191;G9FZU;22;24;24;14
8192;XV2Z4;5;16;16;7
8193;Z93Q5;23;18;18;8
8194;43PRT;26;14;14;6
8195;Y5CT9;22;15;15;4
8196;7N7B7;22;9;9;11
8197;XH649;19;11;11;1
8198;RRUHG;5;5;5;11
8199;P8GGP;18;17;17;9
8200;BAHQS;5;21;21;15
8201;2FM5Y;24;12;12;15
8202;M2DJ3;17;18;18;9
8203;B7B82;6;26;26;12
8204;APHUX;19;24;24;7
8205;Q9VWG;29;25;25;14
8206;BXHJE;10;26;26;13
8207;2BKE6;23;13;13;14
8208;ARXDZ;25;10;10;15
8209;RFXSD;16;8;8;5
8210;PSTXD;17;27;27;11
8211;GDD42;19;13;13;4
8212;L5PTD;26;29;29;6
8213;TKE5Q;14;8;8;9
8214;B57Y9;11;19;19;14
8215;XFFLY;22;20;20;5
8216;J2H4P;22;26;26;7
8217;LATQ5;15;10;10;14
8218;K2YZK;5;22;22;7
8219;4JV9E;18;11;11;4
8220;CAA9Z;5;5;5;9
8221;AW7F9;30;15;15;13
8222;VQZ4J;6;10;10;1
8223;FFKYV;13;25;25;4
8224;EAM4Z;12;16;16;2
8225;XX9KW;27;6;6;13
8226;EMWEL;17;11;11;7
8227;MF9KL;20;22;22;9
8228;863YZ;6;16;16;12
8229;B57MU;22;12;12;12
8230;SRU6L;24;27;27;5
8231;KU9K5;22;29;29;2
8232;VPHJU;19;26;26;15
8233;UW2T7;30;16;16;10
8234;DS46G;17;10;10;2
8235;T8CRK;20;29;29;13
8236;W93H6;24;6;6;10
8237;DSQD3;24;24;24;2
8238;LZHT9;7;25;25;6
8239;4DWUX;6;27;27;5
8240;TYFMU;10;12;12;6
8241;N7SRN;19;17;17;8
8242;4ENVM;11;6;6;11
8243;JZ6Z4;25;16;16;5
8244;YBT7V;19;19;19;3
8245;S2YEM;23;23;23;7
8246;NYBTC;30;16;16;14
8247;V8AEQ;7;13;13;13
8248;P8U3U;15;13;13;11
8249;8CK44;6;26;26;1
8250;DS5WQ;25;21;21;10
8251;QFGFL;6;29;29;15
8252;UTBWD;11;11;11;1
8253;DHCDN;14;9;9;11
8254;SSMDL;24;14;14;11
8255;7CNG6;11;13;13;8
8256;GKNC8;14;13;13;10
8257;5TECZ;29;19;19;4
8258;QWKRJ;20;7;7;0
8259;NVSRY;14;21;21;3
8260;6AHJD;30;9;9;8
8261;TFF8N;25;5;5;5
8262;CFYRJ;14;14;14;5
8263;WL43N;22;7;7;13
8264;THA4Z;26;5;5;1
8265;KHM3Y;18;7;7;9
8266;BYYK9;22;13;13;8
8267;45EA3;9;8;8;0
8268;TC9HU;23;13;13;1
8269;H66BX;9;20;20;6
8270;KV7LQ;19;29;29;1
8271;WVX9P;25;14;14;5
8272;MBDCM;17;11;11;13
8273;D6GH7;9;24;24;8
8274;A399A;24;9;9;13
8275;TH6QK;27;10;10;2
8276;TZ6QB;27;13;13;13
8277;LDXAD;24;18;18;5
8278;CNFGQ;26;24;24;4
8279;SKMZT;28;18;18;2
8280;JZLJY;16;20;20;5
8281;L47HJ;28;24;24;3
8282;G3ADH;30;12;12;1
8283;CQMZQ;16;24;24;5
8284;R34W9;17;29;29;4
8285;KFKW6;15;18;18;11
8286;47VEF;21;15;15;4
8287;LR9HY;9;9;9;8
8288;JQRJU;13;29;29;3
8289;ZMADC;28;11;11;11
8290;RU5LG;18;19;19;4
8291;5VMEJ;12;15;15;0
8292;J9F5E;6;8;8;14
8293;LFVLP;11;26;26;10
8294;LU645;26;28;28;8
8295;QUGRX;24;5;5;5
8296;J8HEJ;29;20;20;10
8297;QA64F;15;26;26;0
8298;ECFK7;25;17;17;12
8299;KWD68;24;5;5;5
8300;SHTNB;19;30;30;7
8301;P5VVL;13;24;24;3
8302;K6KTB;11;10;10;14
8303;U9CQ4;29;9;9;6
8304;JU7P6;9;15;15;7
8305;4YT8V;14;9;9;6
8306;SR4B6;29;13;13;3
8307;6QZSC;18;22;22;12
8308;C39ML;5;18;18;8
8309;B7LDN;18;15;15;7
8310;FM9C2;14;28;28;6
8311;67RP5;22;12;12;5
8312;C7L69;7;9;9;1
8313;G3Q8K;28;20;20;11
8314;SACSN;6;11;11;12
8315;PTLZX;7;9;9;6
8316;Z6BY9;15;5;5;14
8317;4U6K9;25;27;27;0
8318;ZN7CJ;23;5;5;6
8319;6KBLJ;11;10;10;10
8320;L5KPN;24;27;27;3
8321;X47AU;13;16;16;1
8322;VZRWP;21;19;19;10
8323;QQAL2;6;13;13;7
8324;ACE7F;18;15;15;12
8325;P4QRE;18;19;19;13
8326;Z4AAH;22;11;11;0
8327;NYCLY;7;7;7;2
8328;W7QEU;23;22;22;13
8329;6UB67;21;19;19;8
8330;36A74;29;25;25;15
8331;FMWW4;8;12;12;14
8332;3MW3N;10;27;27;15
8333;6GC8S;29;5;5;6
8334;2VQHZ;9;9;9;13
8335;ADLBA;5;5;5;6
8336;J46J2;19;5;5;2
8337;ZQDMD;11;30;30;10
8338;7EQU8;29;24;24;3
8339;4QE7P;28;26;26;5
8340;XYAD7;29;14;14;11
8341;2EACF;11;12;12;0
8342;AMA7V;15;21;21;1
8343;3WC6A;13;12;12;6
8344;F4FWP;29;16;16;1
8345;DR5JN;21;20;20;7
8346;K7CKA;28;29;29;11
8347;9BFAE;30;22;22;8
8348;LBRM8;21;11;11;14
8349;DEVFB;27;20;20;6
8350;VM629;28;23;23;4
8351;K6RFE;6;8;8;3
8352;5QB72;9;17;17;11
8353;C74J7;19;16;16;3
8354;8U8Q8;29;29;29;14
8355;7UDT2;7;8;8;6
8356;EEDB7;11;19;19;6
8357;DM4UT;29;10;10;9
8358;8P9AM;20;24;24;14
8359;2DJUM;22;10;10;6
8360;GT8FA;28;16;16;7
8361;7CUAV;25;6;6;6
8362;LF2QG;10;24;24;3
8363;YUUSE;26;7;7;15
8364;DRUDS;16;19;19;2
8365;85WHQ;5;5;5;4
8366;APA8V;25;11;11;4
8367;A6XU6;12;10;10;15
8368;K7CCN;15;29;29;6
8369;J285K;19;6;6;10
8370;D82YB;26;27;27;0
8371;KW775;27;24;24;13
8372;M7KN6;25;11;11;8
8373;6N2U9;20;9;9;5
8374;X66Z8;9;19;19;10
8375;KAYH5;23;26;26;2
8376;9M42B;26;26;26;6
8377;6CX39;26;12;12;13
8378;TF75T;26;27;27;5
8379;427UL;29;7;7;4
8380;7JG49;9;12;12;11
8381;EDA5M;21;29;29;1
8382;55YXV;11;10;10;10
8383;ZUYPM;14;15;15;14
8384;X8TV3;11;9;9;3
8385;CPTAA;20;8;8;13
8386;68JD2;23;23;23;11
8387;JJ5JD;10;6;6;2
8388;GE864;18;18;18;8
8389;UWNJB;25;24;24;15
8390;Z8AKU;15;6;6;7
8391;3N9MP;15;28;28;6
8392;9JMJN;8;13;13;3
8393;DSW83;25;10;10;3
8394;2F7YC;18;24;24;4
8395;ZKYDU;9;12;12;5
8396;25T2E;8;10;10;12
8397;DUTD8;23;11;11;8
8398;8CGKM;17;28;28;12
8399;UP5HN;8;19;19;7
8400;W9TUY;11;25;25;10
8401;WKALP;18;27;27;6
8402;UDJE5;10;27;27;15
8403;PJP8M;6;7;7;9
8404;M7PUH;13;13;13;11
8405;2FWWN;8;22;22;1
8406;AKMT5;9;28;28;6
8407;BGFCS;19;14;14;6
8408;UWV53;24;23;23;13
8409;RKB6J;16;14;14;15
8410;NJF44;5;23;23;1
8411;NV9AJ;29;13;13;13
8412;NBT2U;9;7;7;7
8413;P42V6;6;26;26;5
8414;KFS7B;30;21;21;0
8415;LPLMK;9;11;11;10
8416;U2UZU;17;5;5;2
8417;NEFNF;28;23;23;11
8418;P3G9T;26;8;8;0
8419;3NMUA;25;24;24;6
8420;H6F23;8;22;22;9
8421;HCHTQ;8;25;25;2
8422;SEGC6;16;16;16;10
8423;2RA76;24;10;10;2
8424;FMXNL;15;15;15;15
8425;GFZUZ;25;29;29;15
8426;Z3V7T;23;23;23;12
8427;PFWWY;8;20;20;13
8428;CF4JJ;20;11;11;13
8429;YB2Z9;17;7;7;12
8430;W7LLK;28;10;10;6
8431;XTRPD;11;14;14;7
8432;GF74C;15;24;24;10
8433;RHHD6;25;6;6;5
8434;8FC3Q;8;10;10;8
8435;LSRDH;15;10;10;14
8436;Q2F3C;5;10;10;4
8437;QQW75;24;30;30;14
8438;2EBX8;19;12;12;14
8439;EEGNJ;26;5;5;7
8440;DLPFD;24;29;29;5
8441;6SWMW;11;24;24;5
8442;54NAV;8;19;19;10
8443;RRCDP;14;14;14;12
8444;86T9T;19;27;27;13
8445;SDYZR;5;25;25;3
8446;844NA;15;23;23;4
8447;7JTUW;20;27;27;13
8448;FPQTQ;9;12;12;4
8449;CB8EF;9;12;12;7
8450;MCB7B;28;26;26;0
8451;UQFKG;16;13;13;6
8452;WHBQW;18;27;27;1
8453;BN6V8;13;26;26;9
8454;S2N8L;21;28;28;1
8455;5AN3F;20;12;12;9
8456;TFHUD;6;23;23;14
8457;KFURQ;7;26;26;12
8458;2EY3V;19;7;7;15
8459;L59GQ;5;16;16;8
8460;8ZHMY;5;18;18;6
8461;UHZ8A;19;17;17;11
8462;6RGEC;11;30;30;15
8463;LQH67;24;5;5;13
8464;YXBNR;7;10;10;9
8465;WZMW8;20;13;13;11
8466;4UXB8;15;29;29;11
8467;MWFDU;24;24;24;6
8468;G9CPD;23;16;16;14
8469;EZTMW;25;30;30;7
8470;QBLSQ;19;22;22;14
8471;3EFE2;19;14;14;8
8472;D8M3A;21;15;15;11
8473;LFWRJ;12;13;13;8
8474;HYJLD;16;11;11;8
8475;NR574;19;27;27;8
8476;SN647;30;18;18;8
8477;MWBT2;9;15;15;3
8478;4XZGQ;16;12;12;15
8479;2SWPA;5;24;24;7
8480;6WYF9;6;10;10;3
8481;4TQXQ;23;20;20;15
8482;KF5GA;23;13;13;14
8483;2TW4D;16;10;10;3
8484;PW2E4;17;14;14;15
8485;G6L5L;16;19;19;0
8486;MZ9B6;11;7;7;12
8487;86PNT;28;26;26;11
8488;6YZ26;28;16;16;6
8489;ZTQNM;9;18;18;6
8490;T3AK7;17;24;24;2
8491;4S4FM;19;21;21;7
8492;ESDDU;25;11;11;0
8493;ACQQR;25;18;18;9
8494;AMFZE;27;7;7;11
8495;CRXT5;6;11;11;9
8496;ACWAN;26;5;5;9
8497;U57PA;6;5;5;15
8498;KUTPY;27;22;22;3
8499;EP2V6;24;9;9;12
8500;JVHPM;6;20;20;10
8501;NS5BB;27;25;25;10
8502;YBDMC;29;18;18;4
8503;S87PN;23;17;17;13
8504;8Z8SE;24;22;22;15
8505;WXTPJ;19;6;6;12
8506;QX5YD;26;19;19;8
8507;HCVCD;28;16;16;11
8508;W3F2F;9;25;25;3
8509;HKDFY;10;11;11;13
8510;REPQX;11;17;17;4
8511;UDLDS;8;21;21;10
8512;UUGQJ;24;16;16;15
8513;KXL7Z;25;24;24;3
8514;QTTVL;19;6;6;5
8515;Y5V4B;16;14;14;0
8516;LKF22;11;29;29;0
8517;4L5EQ;10;25;25;4
8518;MZAUF;16;12;12;9
8519;K54W2;30;9;9;12
8520;UCLEY;6;12;12;14
8521;X4UJX;21;15;15;6
8522;VU93M;16;19;19;13
8523;ZWXU2;27;12;12;9
8524;E8SES;19;5;5;13
8525;XQNSC;30;5;5;5
8526;FDFSJ;29;9;9;5
8527;5FCQP;30;28;28;15
8528;2BAZ4;5;16;16;13
8529;NQQBA;10;26;26;11
8530;HF92L;23;18;18;2
8531;RQ268;20;26;26;11
8532;5BCAT;10;26;26;6
8533;L6YPL;27;8;8;11
8534;EFMF6;5;7;7;6
8535;GTMXV;11;14;14;13
8536;M73MX;11;5;5;14
8537;D4D6Z;5;10;10;2
8538;CZ2F2;20;15;15;8
8539;LSWA7;29;12;12;9
8540;8FDKL;5;24;24;5
8541;AS6MG;17;26;26;15
8542;RZDJC;22;15;15;0
8543;3N77K;22;24;24;12
8544;W9BPF;6;23;23;7
8545;3ZXP2;30;26;26;5
8546;VM7YX;28;5;5;3
8547;JYFEC;28;15;15;9
8548;MW3R6;11;11;11;7
8549;5JK2G;30;8;8;5
8550;UPGV4;17;26;26;14
8551;MNUA4;14;28;28;2
8552;LVFJL;27;20;20;13
8553;5SABX;29;25;25;0
8554;CNK66;19;24;24;14
8555;FZFQS;17;23;23;13
8556;MB8TW;16;28;28;9
8557;26BL7;5;14;14;11
8558;5XSA7;9;26;26;3
8559;56P57;27;12;12;10
8560;D8LN4;16;14;14;10
8561;GUUNA;23;20;20;6
8562;CZCBK;23;7;7;4
8563;Y3F2E;28;18;18;12
8564;DV3WW;11;12;12;11
8565;ZRSFM;9;18;18;10
8566;PJKZW;12;13;13;3
8567;E8GYL;16;7;7;9
8568;H3CK4;20;29;29;0
8569;MAWT2;23;30;30;11
8570;3WNVJ;12;27;27;10
8571;AL2TR;29;5;5;1
8572;D82PY;22;27;27;4
8573;NTXVJ;17;22;22;8
8574;94BCE;11;20;20;9
8575;6PET8;28;30;30;9
8576;7LVK7;12;22;22;2
8577;6LHW5;27;17;17;15
8578;ZZ3RE;20;25;25;1
8579;S5YFR;20;19;19;0
8580;8FKAH;29;19;19;12
8581;Q6XVQ;10;24;24;7
8582;VS2H4;27;30;30;15
8583;XDE7Z;12;20;20;14
8584;9WR3E;25;23;23;5
8585;WKALR;5;24;24;0
8586;RKW2K;8;22;22;11
8587;6HGT4;15;23;23;9
8588;WFLNN;23;22;22;12
8589;FCRK9;21;5;5;4
8590;HJWZB;29;19;19;3
8591;2MM2Y;18;9;9;11
8592;4H9QA;11;18;18;4
8593;JMHQ6;11;11;11;12
8594;BDCNR;29;5;5;1
8595;QTT84;27;13;13;0
8596;TGDF7;29;7;7;1
8597;E7KRX;17;7;7;9
8598;9L783;25;21;21;11
8599;7HEEY;30;11;11;9
8600;BG3DU;6;5;5;2
8601;JUE4T;29;8;8;2
8602;9N2CT;21;16;16;7
8603;YHR9Z;8;8;8;15
8604;F9BC8;27;15;15;11
8605;49F8E;15;8;8;1
8606;59MWD;14;18;18;9
8607;77XC2;10;20;20;10
8608;HBE9D;14;27;27;14
8609;XXMFW;21;14;14;5
8610;CLWEN;16;18;18;12
8611;U8NZ7;13;11;11;2
8612;TU76H;5;15;15;13
8613;A4EY6;21;17;17;0
8614;678B6;28;6;6;14
8615;CZUP6;12;30;30;7
8616;HRH5V;23;25;25;1
8617;VPUAE;11;29;29;5
8618;RTZNQ;18;21;21;6
8619;8PJDD;27;9;9;7
8620;FAADB;19;26;26;4
8621;7F3SU;7;11;11;3
8622;XZC7U;14;24;24;9
8623;YT9JT;21;12;12;6
8624;E2D6F;13;29;29;15
8625;T5U49;29;27;27;14
8626;X99YC;18;26;26;2
8627;BWH5E;14;27;27;6
8628;4T56Q;30;24;24;9
8629;QV9Q6;18;26;26;12
8630;SVWWR;19;19;19;13
8631;3FMNA;7;7;7;2
8632;LB9L2;24;28;28;10
8633;BMNKH;13;30;30;8
8634;TD2PA;18;14;14;12
8635;G5WFK;26;14;14;7
8636;SY6FL;11;28;28;8
8637;N9SZM;26;12;12;8
8638;SBPRM;18;14;14;0
8639;FTZU5;15;24;24;12
8640;8D9ZT;25;25;25;12
8641;A7NWD;24;26;26;10
8642;YF3VL;5;15;15;0
8643;DALWZ;23;8;8;6
8644;XF3CW;19;20;20;1
8645;FJG74;22;5;5;7
8646;C68BV;11;12;12;3
8647;RBS6X;7;27;27;15
8648;VU4PG;9;19;19;1
8649;FSGRF;27;26;26;4
8650;8FLZH;24;6;6;10
8651;97SG4;21;7;7;9
8652;LJYKK;12;8;8;2
8653;K3L4X;19;19;19;0
8654;AQJ55;5;26;26;3
8655;RBNXS;16;27;27;12
8656;TWY6M;7;21;21;6
8657;75JQB;12;23;23;6
8658;D3K3C;8;19;19;15
8659;VD578;13;13;13;10
8660;T8N44;10;18;18;9
8661;HK5V9;27;24;24;5
8662;NFVCB;30;23;23;11
8663;9A7JQ;29;25;25;0
8664;8MHJF;14;11;11;15
8665;L5JG3;10;9;9;9
8666;GZ2VU;20;15;15;15
8667;U45PQ;12;27;27;7
8668;43WP6;26;13;13;15
8669;YN6VW;27;24;24;6
8670;LUAU4;7;26;26;12
8671;F6YQC;13;12;12;10
8672;RW4JJ;21;5;5;14
8673;N4CJJ;16;15;15;10
8674;TDCFS;12;29;29;11
8675;8574Q;15;28;28;4
8676;UFAU2;25;28;28;9
8677;52WTG;9;12;12;3
8678;ZB5UK;5;5;5;4
8679;D9EGH;24;28;28;8
8680;NZLQ7;24;20;20;13
8681;5N23H;8;29;29;9
8682;HNNJ9;19;24;24;6
8683;FEZ3Y;16;5;5;11
